Country,Kg/capita ,year,level,Code
Afghanistan,0,2012,UNKNOWN,AFG
Albania,0,2012,UNKNOWN,ALB
Algeria,0,2012,UNKNOWN,DZA
Andorra,0,2012,UNKNOWN,AND
Angola,0,2012,UNKNOWN,AGO
Antigua and Barbuda,0,2012,UNKNOWN,ATG
Argentina,0,2012,UNKNOWN,ARG
Armenia,0,2012,UNKNOWN,ARM
Australia,47.825,2012,4,AUS
South Sudan,0,2006,UNKNOWN,SSD
Austria,16.078,2012,1,AUT
Azerbaijan,0,2012,UNKNOWN,AZE
Bahamas,0,2012,UNKNOWN,BHS
Bahrain,0,2012,UNKNOWN,BHR
Bangladesh,0,2012,UNKNOWN,BGD
Barbados,0,2012,UNKNOWN,BRB
Belarus,0,2012,UNKNOWN,BLR
Belgium,9.33,2012,0,BEL
Belize,0,2012,UNKNOWN,BLZ
Benin,0,2012,UNKNOWN,BEN
Bhutan,0,2012,UNKNOWN,BTN
BolIvia,0,2012,UNKNOWN,BOL
Bosnia and Herzegovina,0,2012,UNKNOWN,BIH
Botswana,0,2012,UNKNOWN,BWA
Brazil,0,2012,UNKNOWN,BRA
Brunei Darussalam,0,2012,UNKNOWN,BRN
Bulgaria,0,2012,UNKNOWN,BGR
Burkina Faso,0,2012,UNKNOWN,BFA
Burundi,0,2012,UNKNOWN,BDI
Cambodia,0,2012,UNKNOWN,KHM
Cameroon,0,2012,UNKNOWN,CMR
Canada,58.1,2012,5,CAN
Central African Republic,0,2012,UNKNOWN,CAF
Chad,0,2012,UNKNOWN,TCD
Chile,0,2012,UNKNOWN,CHL
Chile,0,2012,UNKNOWN,CHL
China,0,2012,UNKNOWN,CHN
Colombia,0,2012,UNKNOWN,COL
Comoros,0,2012,UNKNOWN,COM
"Congo, Dem. Rep",0,2012,UNKNOWN,COD
"Congo, Rep.",0,2012,UNKNOWN,COG
Costa Rica,0,2012,UNKNOWN,CRI
Cote d'lvoire,0,2012,UNKNOWN,CIV
Croatia,0,2012,UNKNOWN,HRV
Cuba,0,2012,UNKNOWN,CUB
Cyprus,0,2012,UNKNOWN,CYP
Czech Republic,12.24,2012,1,CZE
Denmark,14.13,2012,1,DNK
Djibouti,0,2012,UNKNOWN,DJI
Dominica,0,2012,UNKNOWN,DMA
Ecuador,0,2012,UNKNOWN,ECU
"Egypt, Arab Rep",0,2012,UNKNOWN,EGY
El Salvadar,0,2012,UNKNOWN,SLV
Equatorial Guinea,0,2012,UNKNOWN,GNQ
Eritrea,0,2012,UNKNOWN,ERI
Estonia,25.37,2012,2,EST
Estonia,0,2012,UNKNOWN,EST
Ethiopia,0,2012,UNKNOWN,ETH
Fiji,0,2012,UNKNOWN,FJI
Finland,19.21,2012,1,FIN
France,11.19,2012,1,ITA
Gabon,0,2012,UNKNOWN,GAB
Gambia,0,2012,UNKNOWN,GMB
Georgia,0,2012,UNKNOWN,GEO
Germany,11.62,2012,1,DEU
Ghana,0,2012,UNKNOWN,GHA
Greece,13.69,2012,1,GRC
Greenland,0,2006,UNKNOWN,GRL
Grenada,0,2012,UNKNOWN,GRD
Guinea,0,2012,UNKNOWN,GIN
Guinea-Bissau,0,2012,UNKNOWN,GNB
Gutemala,0,2012,UNKNOWN,GTM
Guyana,0,2012,UNKNOWN,GUY
Haiti,0,2012,UNKNOWN,HTI
Honduras,0,2012,UNKNOWN,HND
Hungary,10.44,2012,1,HUN
Iceland,15.83,2012,1,ISL
India,0,2012,UNKNOWN,IND
Indonesia,0,2012,UNKNOWN,IDN
"Iran, Islamic Rep.",0,2012,UNKNOWN,IRN
Iraq,0,2012,UNKNOWN,IRQ
Ireland,9.48,2012,0,IRL
Israel,34.36,2012,3,ISR
Italy,14.12,2012,1,GBR
Jamaica,0,2012,UNKNOWN,JAM
Japan,12.06,2012,1,JPN
Jordan,0,2012,UNKNOWN,JOR
Kazakhstan,0,2012,UNKNOWN,KAZ
Kenya,0,2012,UNKNOWN,KEN
Kiribati,0,2012,UNKNOWN,KIR
Korea,17.02,2012,1,KOR
"Korea, South (D.P.R.O)",0,2012,UNKNOWN,PRK
Kuwait,0,2012,UNKNOWN,KWT
Kyrgyz Republic,0,2012,UNKNOWN,KGZ
Latvia,0,2012,UNKNOWN,LVA
Latvia,0,2012,UNKNOWN,LVA
Lebanon,0,2012,UNKNOWN,LBN
Lesotho,0,2012,UNKNOWN,LSO
Liberia,0,2012,UNKNOWN,LBR
Libya,0,2012,UNKNOWN,LBY
Lithuania,0,2012,UNKNOWN,LTU
Luxembourg,16.04,2012,1,LUX
"Macedonia, FYR",0,2012,UNKNOWN,MKD
Madagascar,0,2012,UNKNOWN,MDG
Malawi,0,2012,UNKNOWN,MWI
Malaysia,0,2012,UNKNOWN,MYS
Maldives,0,2012,UNKNOWN,MDV
Mali,0,2012,UNKNOWN,MLI
Malta,0,2012,UNKNOWN,MLT
Marshall Islands,0,2012,UNKNOWN,MHL
Mauritania,0,2012,UNKNOWN,MRT
Mauritius,0,2012,UNKNOWN,MUS
Mexico,0,2012,UNKNOWN,MEX
"Micronesia, Fed Sts",0,2012,UNKNOWN,FSM
Moldova,0,2012,UNKNOWN,MDA
Mongolia,0,2012,UNKNOWN,MNG
Montenegro,0,2012,UNKNOWN,MNE
Morocco,0,2012,UNKNOWN,MAR
Mozambique,0,2012,UNKNOWN,MOZ
Myanmar,0,2012,UNKNOWN,MMR
Nambia,0,2012,UNKNOWN,NAM
Nepal,0,2012,UNKNOWN,NPL
Netherlands,8.63,2012,0,NLD
New Zealand,38.32,2012,3,NZL
Nicaragua,0,2012,UNKNOWN,NIC
Niger,0,2012,UNKNOWN,NER
Nigeria,0,2012,UNKNOWN,NGA
Norway,27.36,2012,2,NOR
Oman,0,2012,UNKNOWN,OMN
Pakistan,0,2012,UNKNOWN,PAK
Panama,0,2012,UNKNOWN,PAN
Papua New Guinea,0,2012,UNKNOWN,PNG
Paraguay,0,2012,UNKNOWN,PRY
Peru,0,2012,UNKNOWN,PER
Philippines,0,2012,UNKNOWN,PHL
Phillipines,0,2012,UNKNOWN,PHL
Poland,16.36,2012,1,POL
Portugal,16.62,2012,1,PRT
Qatar,0,2012,UNKNOWN,QAT
Romania,0,2012,UNKNOWN,ROU
Russian Federation*,17.91,2012,1,RUS
Rwanda,0,2012,UNKNOWN,RWA
Samoa,0,2012,UNKNOWN,WSM
Sao Tome and Principe,0,2012,UNKNOWN,STP
Saudi Arabia,0,2012,UNKNOWN,SAU
Senegal,0,2012,UNKNOWN,SEN
Serbia,0,2012,UNKNOWN,SRB
Seychelles,0,2012,UNKNOWN,SYC
Sierra Leone,0,2012,UNKNOWN,SLE
Singapore,0,2012,UNKNOWN,SGP
Slovakia,11.31,2012,1,SVK
Slovenia,19.2,2012,1,SVN
Solomon Islands,0,2012,UNKNOWN,SLB
Somalia,0,2012,UNKNOWN,SOM
South Africa,0,2012,UNKNOWN,ZAF
Spain,12.96,2012,1,ESP
Sri Lanka,0,2012,UNKNOWN,LKA
Sudan,0,2012,UNKNOWN,SDN
Suriname,0,2012,UNKNOWN,SUR
Swaziland,0,2012,UNKNOWN,SWZ
Sweden,19.52,2012,1,SWE
Switzerland,10.66,2012,1,CHE
Syrian Arab Republic,0,2012,UNKNOWN,SYR
Tajikistan,0,2012,UNKNOWN,TJK
Tanzania,0,2012,UNKNOWN,TZA
Thailand,0,2012,UNKNOWN,THA
Togo,0,2012,UNKNOWN,TGO
Tonga,0,2012,UNKNOWN,TON
Trinidad and Tobago,0,2012,UNKNOWN,TTO
Tunsia,0,2012,UNKNOWN,TUN
Turkey,14.36,2012,1,TUR
Turkmenistan,0,2012,UNKNOWN,TKM
Uganda,0,2012,UNKNOWN,UGA
Ukraine,0,2012,UNKNOWN,UKR
United Arab Emirates,0,2012,UNKNOWN,ARE
United Kingdom,13.05,2012,1,FRA
United States of America,42.3,2012,4,USA
Uruguay,0,2012,UNKNOWN,URY
Uzbekistan,0,2012,UNKNOWN,UZB
Vanuatu,0,2012,UNKNOWN,VUT
"Venezuela, RB",0,2012,UNKNOWN,VEN
Vietnam,0,2012,UNKNOWN,VNM
"Yemen, rep.",0,2012,UNKNOWN,YEM
Zambia,0,2012,UNKNOWN,ZMB
Zimbabwe,0,2012,UNKNOWN,ZWE
